model,emoji,left_liberal,right_conservative,delta
DeepSeek,ğŸ˜‚,0.009523809523809525,0.006666666666666667,-0.0028571428571428576
DeepSeek,ğŸ˜,0.014285714285714285,0.075,0.060714285714285714
DeepSeek,ğŸ˜Š,0.2392857142857143,0.19333333333333333,-0.04595238095238097
DeepSeek,ğŸ˜‡,0.008333333333333333,0.005,-0.003333333333333333
DeepSeek,â¤ï¸,0.06547619047619048,0.025,-0.04047619047619048
DeepSeek,ğŸ’™,0.02261904761904762,0.013333333333333334,-0.009285714285714284
DeepSeek,ğŸ§¡,0.0,0.005,0.005
DeepSeek,ğŸ’š,0.0011904761904761906,0.0,-0.0011904761904761906
DeepSeek,â¤ï¸â€ğŸ”¥,0.0035714285714285713,0.0016666666666666668,-0.0019047619047619045
DeepSeek,ğŸ¤”,0.009523809523809525,0.008333333333333333,-0.0011904761904761915
DeepSeek,ğŸ˜¢,0.013095238095238096,0.005,-0.008095238095238096
DeepSeek,ğŸ˜,0.0035714285714285713,0.0,-0.0035714285714285713
DeepSeek,ğŸ˜”,0.002380952380952381,0.0033333333333333335,0.0009523809523809524
DeepSeek,ğŸ˜¤,0.004761904761904762,0.01,0.005238095238095238
DeepSeek,ğŸ˜ ,0.1,0.18333333333333332,0.08333333333333331
DeepSeek,ğŸ˜¡,0.007142857142857143,0.0033333333333333335,-0.003809523809523809
DeepSeek,ğŸ’ª,0.02142857142857143,0.02666666666666667,0.00523809523809524
DeepSeek,âœŠ,0.0380952380952381,0.015,-0.0230952380952381
DeepSeek,ğŸ¤,0.013095238095238096,0.008333333333333333,-0.004761904761904762
DeepSeek,ğŸŒ±,0.02142857142857143,0.0,-0.02142857142857143
DeepSeek,ğŸŒ¿,0.03571428571428571,0.0016666666666666668,-0.03404761904761905
DeepSeek,ğŸŒ³,0.004761904761904762,0.0016666666666666668,-0.0030952380952380953
DeepSeek,ğŸ³ï¸,0.014285714285714285,0.041666666666666664,0.02738095238095238
DeepSeek,ğŸ”¥,0.016666666666666666,0.023333333333333334,0.006666666666666668
DeepSeek,ğŸ”´,0.002380952380952381,0.01,0.007619047619047619
GPT-4.1,ğŸ˜Š,0.5797619047619048,0.5183333333333333,-0.0614285714285715
GPT-4.1,â¤ï¸,0.06785714285714285,0.0016666666666666668,-0.06619047619047619
GPT-4.1,ğŸ’™,0.009523809523809525,0.006666666666666667,-0.0028571428571428576
GPT-4.1,ğŸ§¡,0.017857142857142856,0.02,0.0021428571428571443
GPT-4.1,ğŸ’š,0.013095238095238096,0.0,-0.013095238095238096
GPT-4.1,ğŸ¤”,0.0380952380952381,0.09666666666666666,0.058571428571428566
GPT-4.1,ğŸ˜ ,0.0,0.01,0.01
GPT-4.1,ğŸ˜¡,0.002380952380952381,0.018333333333333333,0.015952380952380954
GPT-4.1,ğŸ’ª,0.004761904761904762,0.0016666666666666668,-0.0030952380952380953
GPT-4.1,ğŸ¤,0.07142857142857142,0.09166666666666666,0.020238095238095236
GPT-4.1,ğŸŒ±,0.1130952380952381,0.0,-0.1130952380952381
GPT-4.1,ğŸŒ¿,0.017857142857142856,0.0,-0.017857142857142856
GPT-4.1,ğŸ³ï¸,0.005952380952380952,0.11666666666666667,0.11071428571428571
GPT-4.1,ğŸ”¥,0.005952380952380952,0.016666666666666666,0.010714285714285714
Gemini-2.5,ğŸ˜‚,0.023809523809523808,0.006666666666666667,-0.01714285714285714
Gemini-2.5,ğŸ˜Š,0.034523809523809526,0.015,-0.019523809523809527
Gemini-2.5,ğŸ˜‡,0.0,0.03166666666666667,0.03166666666666667
Gemini-2.5,â¤ï¸,0.011904761904761904,0.0,-0.011904761904761904
Gemini-2.5,ğŸ’™,0.014285714285714285,0.0,-0.014285714285714285
Gemini-2.5,ğŸ§¡,0.0035714285714285713,0.0016666666666666668,-0.0019047619047619045
Gemini-2.5,ğŸ’š,0.016666666666666666,0.0,-0.016666666666666666
Gemini-2.5,ğŸ¤”,0.0761904761904762,0.09833333333333333,0.02214285714285713
Gemini-2.5,ğŸ˜¢,0.004761904761904762,0.0016666666666666668,-0.0030952380952380953
Gemini-2.5,ğŸ˜,0.0011904761904761906,0.0,-0.0011904761904761906
Gemini-2.5,ğŸ˜”,0.02023809523809524,0.01,-0.010238095238095239
Gemini-2.5,ğŸ˜¤,0.011904761904761904,0.025,0.013095238095238097
Gemini-2.5,ğŸ˜ ,0.08214285714285714,0.18,0.09785714285714285
Gemini-2.5,ğŸ˜¡,0.12261904761904761,0.245,0.12238095238095238
Gemini-2.5,ğŸ’ª,0.03214285714285714,0.025,-0.007142857142857138
Gemini-2.5,âœŠ,0.05476190476190476,0.0033333333333333335,-0.05142857142857143
Gemini-2.5,ğŸ¤,0.005952380952380952,0.006666666666666667,0.000714285714285715
Gemini-2.5,ğŸŒ±,0.05,0.0,-0.05
Gemini-2.5,ğŸŒ¿,0.007142857142857143,0.0,-0.007142857142857143
Gemini-2.5,ğŸŒ³,0.05119047619047619,0.0,-0.05119047619047619
Gemini-2.5,ğŸ³ï¸,0.10833333333333334,0.18,0.07166666666666666
Gemini-2.5,ğŸ”´,0.011904761904761904,0.0,-0.011904761904761904
Grok-3,ğŸ˜‚,0.039285714285714285,0.018333333333333333,-0.02095238095238095
Grok-3,ğŸ˜Š,0.3488095238095238,0.22333333333333333,-0.12547619047619046
Grok-3,ğŸ˜‡,0.0,0.0016666666666666668,0.0016666666666666668
Grok-3,ğŸ’š,0.004761904761904762,0.0,-0.004761904761904762
Grok-3,ğŸ˜¢,0.007142857142857143,0.0,-0.007142857142857143
Grok-3,ğŸ˜”,0.0011904761904761906,0.0,-0.0011904761904761906
Grok-3,ğŸ˜¤,0.0011904761904761906,0.0016666666666666668,0.0004761904761904762
Grok-3,ğŸ˜ ,0.1130952380952381,0.16333333333333333,0.050238095238095234
Grok-3,ğŸ˜¡,0.4452380952380952,0.585,0.13976190476190475
Grok-3,ğŸŒ±,0.002380952380952381,0.0,-0.002380952380952381
Grok-3,ğŸŒ¿,0.02976190476190476,0.0,-0.02976190476190476
LLaMA-4,ğŸ˜Š,0.12974296205630356,0.038525963149078725,-0.09121699890722484
LLaMA-4,â¤ï¸,0.0024479804161566705,0.0,-0.0024479804161566705
LLaMA-4,ğŸ’š,0.004895960832313341,0.0,-0.004895960832313341
LLaMA-4,ğŸ¤”,0.0012239902080783353,0.0,-0.0012239902080783353
LLaMA-4,ğŸ˜¢,0.0012239902080783353,0.03350083752093802,0.03227684731285969
LLaMA-4,ğŸ˜,0.012239902080783354,0.0,-0.012239902080783354
LLaMA-4,ğŸ˜”,0.008567931456548347,0.0016750418760469012,-0.006892889580501446
LLaMA-4,ğŸ˜¤,0.0,0.006700167504187605,0.006700167504187605
LLaMA-4,ğŸ˜ ,0.2839657282741738,0.7370184254606366,0.45305269718646274
LLaMA-4,ğŸ˜¡,0.397796817625459,0.17755443886097153,-0.22024237876448746
LLaMA-4,ğŸŒ±,0.10159118727050184,0.0,-0.10159118727050184
LLaMA-4,ğŸŒ¿,0.012239902080783354,0.0,-0.012239902080783354
LLaMA-4,ğŸ”´,0.01591187270501836,0.0,-0.01591187270501836
Mistral,ğŸ˜‚,0.0,0.0016666666666666668,0.0016666666666666668
Mistral,ğŸ˜,0.0,0.0016666666666666668,0.0016666666666666668
Mistral,ğŸ˜Š,0.05952380952380952,0.05,-0.009523809523809518
Mistral,ğŸ˜‡,0.0,0.011666666666666667,0.011666666666666667
Mistral,â¤ï¸,0.13452380952380952,0.07666666666666666,-0.05785714285714286
Mistral,ğŸ’™,0.02619047619047619,0.0,-0.02619047619047619
Mistral,ğŸ§¡,0.0011904761904761906,0.0016666666666666668,0.0004761904761904762
Mistral,ğŸ’š,0.07976190476190476,0.0,-0.07976190476190476
Mistral,â¤ï¸â€ğŸ”¥,0.05952380952380952,0.05,-0.009523809523809518
Mistral,ğŸ¤”,0.0035714285714285713,0.008333333333333333,0.004761904761904762
Mistral,ğŸ˜¢,0.041666666666666664,0.023333333333333334,-0.01833333333333333
Mistral,ğŸ˜,0.03571428571428571,0.041666666666666664,0.005952380952380952
Mistral,ğŸ˜”,0.04047619047619048,0.03166666666666667,-0.008809523809523809
Mistral,ğŸ˜¤,0.0035714285714285713,0.01,0.006428571428571429
Mistral,ğŸ˜ ,0.04404761904761905,0.15,0.10595238095238094
Mistral,ğŸ˜¡,0.13690476190476192,0.33666666666666667,0.19976190476190475
Mistral,ğŸ’ª,0.12380952380952381,0.03,-0.09380952380952381
Mistral,âœŠ,0.008333333333333333,0.0016666666666666668,-0.006666666666666666
Mistral,ğŸ¤,0.002380952380952381,0.005,0.002619047619047619
Mistral,ğŸŒ±,0.010714285714285714,0.0,-0.010714285714285714
Mistral,ğŸŒ¿,0.0035714285714285713,0.0,-0.0035714285714285713
Mistral,ğŸŒ³,0.017857142857142856,0.0,-0.017857142857142856
Mistral,ğŸ³ï¸,0.005952380952380952,0.016666666666666666,0.010714285714285714
Mistral,ğŸ”¥,0.013095238095238096,0.006666666666666667,-0.0064285714285714285
Mistral,ğŸ”´,0.013095238095238096,0.0016666666666666668,-0.011428571428571429
